cds,lea,county,i_exp,i_all,ii_exp,ii_all,iii_exp,iii_all,iii_plan_link
01100170000000,Alameda County Office of Education,Alameda,442110,442110,2458641,2458641,4970349,5526880,https://drive.google.com/file/d/1-aUU57hyWygnThjrSnX5ULYAJJG2BXZF/view
01100170112607,Envision Academy for Arts & Technology,Alameda,102727,102727,406811,406811,914487,914487,https://envisionacademy.org/wp-content/uploads/sites/3/2021/10/2021_ESSER_III_Expenditure_Plan_Envision_Academy_of_Arts___Technology_20211018.pdf
01100170123968,Community School for Creative Education,Alameda,54193,54193,284566,284566,531856,639687,https://img1.wsimg.com/blobby/go/edfc2ce1-49d4-48bc-9107-a4c585807926/downloads/esseriiiexpenditureplan.pdf?ver=1650043745141
01100170124172,Yu Ming Charter,Alameda,NaN,NaN,45462,45462,102196,102196,https://www.yumingschool.org/wp-content/uploads/2021/10/YU-MING-ESSER-III-EP.docx.pdf
01100170125567,Urban Montessori Charter,Alameda,37887,37887,139675,139675,313981,313981,https://app2.boardontrack.com/attachment/publicDownload/205714?s=spP9c0
01100170129403,Epic Charter,Alameda,NaN,NaN,NaN,NaN,NaN,NaN,
01100170130625,Alternatives in Action,Alameda,62806,62806,248717,248717,460862,559100,https://static1.squarespace.com/static/5f8d0815c629cb328ce4025a/t/617c2c6f76528f19b24dc672/1635527792304/ESSER+III_AIA.pdf
01100170131581,Oakland Unity Middle,Alameda,55942,55942,213324,213324,479541,479541,https://unityschools.app.box.com/s/thqdaecuxlwysqose5w7q20ows4uf952
01100170137448,Aurum Preparatory Academy,Alameda,49831,49831,199130,199130,447632,447632,https://www.aurumprep.org/_files/ugd/2635a7_b4a905ffaa7649639bbfc0d9f9399a16.pdf
01100170138867,Hayward Collegiate Charter,Alameda,19567,19567,78193,78193,150487,175774,https://static1.squarespace.com/static/65a0abaefd47e671ee1fd526/t/65b275f8700d634f689f3415/1706194424171/Hayward_Collegiate_FY22_ESSER_III_Expenditure_Plan__1_.pdf
01100176001788,Cox Academy,Alameda,202392,202392,801493,801493,1801709,1801709,
01100176002000,Lazear Charter Academy,Alameda,154352,154352,611248,611248,1374051,1374051,
01611190000000,Alameda Unified,Alameda,802891,802891,3179530,3179530,7147396,7147396,https://resources.finalsite.net/images/v1656191607/alamedak12caus/nniulu5pg8hi6s6v5f1a/ESSERIIIExpenditurePlan.pdf
01611190119222,Nea Community Learning Center,Alameda,47258,47258,228711,228711,412826,514129,https://resources.finalsite.net/images/v1634573590/clcs/e3wi7rivqyt2kaoeucj5/FinalNeaESSERIIIexpenditureplanOct2021.pdf
01611190122085,The Academy of Alameda,Alameda,64126,64126,277746,277746,624357,624357,https://aoaschools.app.box.com/s/u6rgovub09t7a091bv3k0ewsp12ux98p
01611190130609,Alameda Community Learning Center,Alameda,NaN,NaN,104826,104826,235642,235642,https://resources.finalsite.net/images/v1634573578/clcs/lyu97bkrtwsskm4pv6mk/ACLCESSERIIIexpenditureplan.pdf
01611190131805,The Academy of Alameda Elementary,Alameda,30624,30624,156145,156145,351005,351005,https://aoaschools.app.box.com/s/h8yp1kmbja9a8uqkqm94y9gsh6x0ndud
01611270000000,Albany City Unified,Alameda,147038,147038,582286,582286,1308944,1308944,https://albanyca.primegov.com/portal/item?id=12148
01611430000000,Berkeley Unified,Alameda,629918,629918,2348419,2348419,4976410,5279107,https://www.berkeleyschools.net/wp-content/uploads/2022/01/2021_ESSER_III_Expenditure_Plan_Berkeley_Unified_School_District_20220112.pdf
01611500000000,Castro Valley Unified,Alameda,509475,509475,1040427,1040427,2338818,2338818,https://drive.google.com/file/d/1Rx0Ry9_2XvqnMu0HeCP8vkNeNpLPS4B0/view
01611680000000,Emery Unified,Alameda,80661,80661,319426,319426,357616,718050,https://docs.google.com/document/d/1R6y7o2DdcWD5eMU4CbhnuZrD7TOfIi4nseWVMaCpaOs/edit
01611760000000,Fremont Unified,Alameda,1894271,1894271,3743935,3743935,8416146,8416146,https://drive.google.com/file/d/1XOak_3KjAfPcB5IcuOjDAOqGeBhjzLwe/view
01611920000000,Hayward Unified,Alameda,3989149,3989149,14924265,14924265,33548869,33548869,https://resources.finalsite.net/images/v1686062930/husdus/datse3fosj7szffgzrqd/7856779058669315180.pdf
01611920108670,Leadership Public Schools - Hayward,Alameda,114095,114095,451829,451829,981829,1015686,https://www.leadps.org/wp-content/uploads/2021/10/2021_esser_iii_expenditure_plan_leadership_public_schools__hayward_20211004.pdf
01611920119248,Golden Oak Montessori of Hayward,Alameda,20808,20808,74300,74300,NaN,167023,
01611920127696,Knowledge Enlightens You (KEY) Academy,Alameda,113530,113530,417242,417242,771292,937936,https://4.files.edl.io/e3cd/01/11/23/194541-bac7b098-cc3d-41fe-b878-7836a83d376c.pdf
01611920127944,Hayward Twin Oaks Montessori,Alameda,36172,36172,284376,284376,639260,639260,https://4.files.edl.io/d502/11/05/21/215932-a509740a-4d0f-4bf6-958a-a9528fba6d4e.pdf
01611920137646,Impact Academy of Arts & Technology,Alameda,154654,154654,639888,639888,1438432,1438432,https://es-impact.org/wp-content/uploads/sites/2/2021/10/2021_ESSER_III_Expenditure_Plan_Impact_Academy_of_Arts___Technology_20211018.pdf
01612000000000,Livermore Valley Joint Unified,Alameda,403147,403147,1593432,1593432,3581942,3581942,https://www.livermoreschools.org//cms/lib/CA50000061/Centricity/Domain/2510/2021_ESSER_III_Expenditure_Plan_Livermore_Valley_Joint_Unified_School_District_20211015.pdf
01612180000000,Mountain House Elementary,Alameda,13973,13973,57951,57951,130270,130270,
01612340000000,Newark Unified,Alameda,472766,472766,1862539,1862539,4137673,4186878,https://www.newarkunified.org/uploaded/Business_Dept/Financial_Reports/ESSER_III_Expenditure_Plan_Board_Approved_10-21-21.pdf
01612420000000,New Haven Unified,Alameda,993853,993853,3663915,3663915,7584869,8236266,https://drive.google.com/file/d/1Y3pwc7B7BnTxZ5Uz9tLknd0zjiBZN27q/view
01612590000000,Oakland Unified,Alameda,14591960,14591960,57785641,57785641,125382769,129898721,https://drive.google.com/file/d/1-9Bl45XNbL1jSA33rTDOvEkYdf4lPt1k/view
01612590100065,Oakland Unity High,Alameda,104237,104237,412788,412788,927924,927924,https://unityschools.app.box.com/s/wbfekq4l2129bqw8zh5hgio6c54ou3cs
01612590106906,Bay Area Technology,Alameda,100333,100333,360964,360964,811427,811427,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1722428/ESSER_III.pdf
01612590108944,Lighthouse Community Charter High,Alameda,70156,70156,287946,287946,647285,647285,https://lighthousecharter.org/wp-content/uploads/2021/10/2021_ESSER_III_Expenditure_Plan_Lighthouse_Community_Charter_High_School_20211019.pdf
01612590109819,Aspire Berkley Maynard Academy,Alameda,155867,155867,581579,581579,1086545,1307356,
01612590111476,Achieve Academy,Alameda,241121,241121,905997,905997,2036628,2036628,
01612590111856,AIMS College Prep High,Alameda,82355,82355,340749,340749,686877,765983,https://static1.squarespace.com/static/5c7f148ef8135a6324962c34/t/617c3d721ad1263d275a0b0d/1635532146306/AIMS+HS+-+ESSER+III+Plan.pdf.pdf
01612590114363,American Indian Public Charter School II,Alameda,183906,183906,760920,760920,862550,1710503,https://static1.squarespace.com/static/5c7f148ef8135a6324962c34/t/617c3d9dfbb37444a73f91b5/1635532190128/AIPCS+II+-+ESSER+III.pdf.pdf
01612590114868,Oakland Charter High,Alameda,114766,114766,468197,468197,470764,1052478,https://www.amethodschools.org/ourpages/auto/2021/11/2/60035521/Oakland%20Charter%20High%20School%20ESSER%20III%20Plans-%20%2823_24%29.pdf
01612590115014,KIPP Bridge Academy,Alameda,173262,173262,635491,635491,1428546,1428546,https://drive.google.com/file/d/1jLuIeWgzAfBccN-e5NpUNrJ3rImhASka/view
01612590115238,ARISE High,Alameda,86012,86012,370160,370160,832098,832098,https://drive.google.com/file/d/1vE8Ak0o_ATygg4_ZbVPoOfOJHaqm7LWO/view
01612590115592,Learning Without Limits,Alameda,139893,139893,553990,553990,1245336,1245336,
01612590118224,Aspire Golden State College Preparatory Academy,Alameda,203178,203178,804604,804604,1631399,1808702,
01612590120188,Aspire ERES Academy,Alameda,76728,76736,77398,309615,NaN,695995,
01612590123711,Vincent Academy,Alameda,13648,83263,NaN,NaN,NaN,NaN,
01612590126748,LPS Oakland R & D Campus,Alameda,149788,149788,621431,621431,1356240,1396940,https://www.leadps.org/wp-content/uploads/2021/10/2021_esser_iii_expenditure_plan_leadership_public_schools__oakland_20211004-1.pdf
01612590128413,Aspire College Academy,Alameda,100667,100667,386210,386210,732663,868177,
01612590129635,Downtown Charter Academy,Alameda,75643,75643,316368,316368,607563,711178,https://www.amethodschools.org/ourpages/auto/2021/11/2/60035521/Downtown%20Charter%20Academy%20ESSER%20III%20Plans-%20%2823_24%29.pdf
01612590129932,East Bay Innovation Academy,Alameda,32615,32615,187416,187416,421300,421300,https://dwscbcy9jc8hm.cloudfront.net/sites/260/comfy/cms/files/67781/files/original/2021_ESSER_III_Expenditure_Plan_East_Bay_Innovation_Academy_20211026_%281%29.pdf
01612590130617,"Oakland Military Institute, College Preparatory Academy",Alameda,208242,208242,822076,822076,1847978,1847978,https://4.files.edl.io/3a6f/07/14/23/160931-42b3952e-bad7-4bb1-9a7f-7c0ca31add7d.pdf
01612590130633,Lighthouse Community Charter,Alameda,156787,156787,619801,619801,1393277,1393277,https://lighthousecharter.org/wp-content/uploads/2021/10/2021_ESSER_III_Expenditure_Plan_Lighthouse_Community_Charter_School_20211019.pdf
01612590130666,Aspire Lionel Wilson College Preparatory Academy,Alameda,175771,175771,659041,659041,1063738,1481486,
01612590130732,Aspire Triumph Technology Academy,Alameda,104355,104355,413256,413256,713229,928976,
01612590132514,Francophone Charter School of Oakland,Alameda,17994,17994,71257,71257,160180,160180,https://francophoneschool.org/wp-content/uploads/2021/09/Francophone-esseriiiexpenditureplan.pdf
01612590132555,Conservatory of Vocal/Instrumental Arts High,Alameda,3193,11864,4430,45427,NaN,102117,
01612590134015,Lodestar: A Lighthouse Community Charter Public,Alameda,68681,68681,601716,601716,1349976,1352622,https://lighthousecharter.org/wp-content/uploads/2022/04/2021_ESSER_III_Expenditure_Plan_Lodestar__A_Lighthouse_Community_Public_School_20211019.pdf
01612593030772,Oakland School for the Arts,Alameda,14336,14336,71982,71982,161810,161810,https://web.archive.org/web/20211207030533/https://www.oakarts.org/documents/About/Board%20of%20Directors/2021-22%20Board%20Agendas%20and%20Materials/2021_ESSER_III_Expenditure_Plan_Oakland_School_for_the_Arts_20211025.pdf
01612596111660,Oakland Charter Academy,Alameda,109193,109193,392840,392840,131620,883082,https://oca.amethodschools.org/m/cross.jsp?wREC_ID=4839&crossPath=/m/pages/index.jsp%3FuREC_ID%3D376642%26type%3Dd%26termREC_ID%3D%26pREC_ID%3D981152
01612596113807,AIMS College Prep Middle,Alameda,40660,40660,171773,171773,272770,386136,https://static1.squarespace.com/static/5c7f148ef8135a6324962c34/t/617c3d3b5f70df30ae30ecfb/1635532091985/AIMS+MS+-+ESSER+III.pdf.pdf
01612596117568,Aspire Monarch Academy,Alameda,142180,142180,562317,562317,922688,1264055,
01612596117972,North Oakland Community Charter,Alameda,29154,29154,132736,132736,298382,298382,
01612596118608,ASCEND,Alameda,152084,152084,602270,602270,1353867,1353867,https://www.efcps.org/_files/ugd/88f0d1_884d7a11016c45b8981c6f178717e2ef.pdf
01612750000000,Piedmont City Unified,Alameda,29202,29202,NaN,NaN,NaN,NaN,
01612910000000,San Leandro Unified,Alameda,1232228,1232228,4879746,4879746,10969383,10969383,https://drive.google.com/file/d/1YS6Bt9gcZZhkB-Sd_K7mgPX6BdP3sUV3/view
01613090000000,San Lorenzo Unified,Alameda,1767508,1767508,6589813,6589813,1938081,14813512,https://4.files.edl.io/2657/10/28/21/214529-718c8bb2-a35e-45db-b6af-764c33317b72.pdf
01613090101212,KIPP Summit Academy,Alameda,108938,108938,431407,431407,969778,969778,https://drive.google.com/file/d/12EvR1zktQPzUrY2Jdpj2skU4BlK8KWMp/view
01613090114421,KIPP King Collegiate High,Alameda,128569,128569,509147,509147,1144533,1144533,https://drive.google.com/file/d/1UKpsJow-eW9kuBH6BnkB0b1WjXEAbSyS/view
01750930000000,Dublin Unified,Alameda,131033,131033,485597,485597,1017555,1091594,https://go.boarddocs.com/ca/dublinusd/Board.nsf/files/C7YVXX82F0A8/$file/2021_ESSER_III_Expenditure_Plan_DUSD_20211020.pdf
01751010000000,Pleasanton Unified,Alameda,238276,238276,943598,943598,2121154,2121154,https://drive.google.com/file/d/1hICuP9o1_S-H_lRYPY5AT9FWSl2ZMpx9/view
01751190000000,Sunol Glen Unified,Alameda,18951,18951,75973,75973,170783,170783,https://www.sunol.k12.ca.us/_files/ugd/d0d407_92b03d0ead5c4c0e81e429533d64c092.pdf
01771800138289,Latitude 37.8 High,Alameda,28222,28222,112779,112779,253520,253520,https://www.efcps.org/_files/ugd/88f0d1_39c955cec99d4e5581cd582a8275e3da.pdf
02613330000000,Alpine County Unified,Alpine,48414,48414,223567,223567,485384,502564,https://alpinestudents.org/files/user/3/file/2021_ESSER_III_Expenditure_Plan_Alpine_County_Unified_School_District_20211029.pdf
03100330000000,Amador County Office of Education,Amador,26611,26611,123250,123250,277059,277059,
03739810000000,Amador County Unified,Amador,567974,567974,2249234,2249234,5056147,5056147,
04100410000000,Butte County Office of Education,Butte,749708,749708,2697193,2697193,5788110,6063132,https://www.livebinders.com/play/play/2850362?tabid=5c39f4d9-2855-cc11-4280-54096a0fe7df
04100410114991,CORE Butte Charter,Butte,116021,116021,445950,445950,1002469,1002469,https://www.livebinders.com/play/play/2850362?tabid=730ed468-a135-daaa-0f9e-c72fb5c94bb1
04613820000000,Bangor Union Elementary,Butte,30184,30184,125173,125173,281381,281381,https://www.livebinders.com/play/play/2850362?tabid=4470f94b-b382-fcf0-8efb-d9ef3902cd26
04614080000000,Biggs Unified,Butte,281124,281124,1056308,1056308,2234685,2374519,https://www.livebinders.com/play/play/2850362?tabid=9efffa35-915a-9d46-fd47-cdb5d0ba93a1
04614240000000,Chico Unified,Butte,2613831,2613831,10086464,10086464,21377484,22673778,https://www.livebinders.com/play/play/2850362?tabid=dc1de33f-d56d-9f0a-53cf-a74c0e12f354
04614240110551,Nord Country,Butte,21997,21997,85976,85976,193270,193270,https://www.livebinders.com/play/play/2850362?tabid=c1cf36f2-373e-8c8c-c1c0-723ba9f298ee#anchor
04614240118042,Forest Ranch Charter,Butte,NaN,NaN,77873,77873,175055,175055,https://www.livebinders.com/play/play/2850362?tabid=c1cf36f2-373e-8c8c-c1c0-723ba9f298ee
04614240120394,Inspire School of Arts and Sciences,Butte,NaN,NaN,162004,162004,364174,364174,https://www.livebinders.com/play/play/2850362?tabid=c1cf36f2-373e-8c8c-c1c0-723ba9f298ee
04614240121475,Sherwood Montessori,Butte,NaN,NaN,87607,87607,196935,196935,https://www.livebinders.com/play/play/2850362?tabid=34a83517-44f3-bdc3-af6c-37fa3c4e805b#anchor
04614240123810,Wildflower Open Classroom,Butte,NaN,NaN,44472,44472,99969,99969,https://www.livebinders.com/play/play/2850362?tabid=34a83517-44f3-bdc3-af6c-37fa3c4e805b#anchor
04614240137828,Pivot Charter School North Valley II,Butte,NaN,NaN,92102,92102,59832,207040,https://www.livebinders.com/play/play/2850362?tabid=34a83517-44f3-bdc3-af6c-37fa3c4e805b#anchor
04614240141085,Achieve Charter School of Chico,Butte,NaN,NaN,77227,77227,173601,173601,https://www.livebinders.com/play/play/2850362?tabid=03e90a77-485f-276c-47f1-0810195d0583
04614246113773,Chico Country Day,Butte,NaN,NaN,127062,127062,285627,285627,https://www.livebinders.com/play/play/2850362?tabid=f4b49f7b-c119-646d-48cc-2684d522ce8c
04614246119523,Blue Oak Charter,Butte,64410,64410,251025,251025,564289,564289,https://www.livebinders.com/play/play/2850362?tabid=47b1a988-94f4-6834-bddc-6809b5c6019c
04614320000000,Durham Unified,Butte,84608,84608,317135,317135,712901,712901,https://www.livebinders.com/play/play/2850362?tabid=03db47db-dc35-1410-b3d0-88bd6d303355
04614570000000,Golden Feather Union Elementary,Butte,69598,69598,275617,275617,615923,619570,https://www.livebinders.com/play/play/2850362?tabid=738c770d-99fd-0cea-1d81-1f8c6bc8cff2
04614990000000,Manzanita Elementary,Butte,44010,44010,158333,158333,323267,355924,https://www.livebinders.com/play/play/2850362?tabid=7df2b6cb-00a6-799b-d8eb-ce554473af4b
04615070000000,Oroville City Elementary,Butte,904780,904780,3810987,3810987,8566874,8566874,https://www.livebinders.com/play/play/2850362?tabid=46526842-7855-29d4-d886-27de75676f5d
04615070121509,Ipakanni Early College Charter,Butte,NaN,NaN,80158,90189,168819,202739,https://www.livebinders.com/play/play/2850362?tabid=c1cf36f2-373e-8c8c-c1c0-723ba9f298ee
04615070129577,STREAM Charter,Butte,39702,39702,153270,153270,344541,344541,https://www.livebinders.com/play/play/2850362?tabid=34a83517-44f3-bdc3-af6c-37fa3c4e805b#anchor
04615150000000,Oroville Union High,Butte,610610,610610,2453365,2453365,5515021,5515021,https://www.livebinders.com/play/play/2850362?tabid=a1a8f543-3920-7342-212b-48269291b7c0
04615230000000,Palermo Union Elementary,Butte,359802,359802,1575461,1575461,2534634,3541545,https://www.livebinders.com/play/play/2850362?tabid=f87a5bd2-bafd-7c6f-c26a-34cb9c6c6f86
04615310000000,Paradise Unified,Butte,904347,904347,3581305,3581305,6111795,8050563,https://www.livebinders.com/play/play/2850362?tabid=2b5d85f4-c114-0457-41a5-8a3fd2161cf5
04615310110338,Achieve Charter School of Paradise Inc.,Butte,NaN,NaN,112570,112570,253050,253050,https://www.livebinders.com/b/2850362
04615316113765,Children's Community Charter,Butte,NaN,NaN,101437,101437,228025,228025,
04615490000000,Thermalito Union Elementary,Butte,878036,878036,3334365,3334365,7467649,7495456,https://www.livebinders.com/play/play/2850362?tabid=a09cc2e4-907a-6b8c-f5b8-949be5343461
04733790000000,Pioneer Union Elementary,Butte,22519,22519,168391,168391,374227,378534,https://www.livebinders.com/play/play/2850362?tabid=4844c1b1-4b4c-12ca-0b23-9ab79cf4472f
04755070000000,Gridley Unified,Butte,426252,426252,1688002,1688002,2959624,3794529,https://www.livebinders.com/play/play/2850362?tabid=cc0da0cc-9657-76bb-cad8-59e8a3068ba7
05100580000000,Calaveras County Office of Education,Calaveras,85661,85661,371508,371508,604944,835128,https://4.files.edl.io/b2e0/04/07/22/162207-4cd18138-a3a8-42ec-b768-24dafcf2f0f0.pdf
05615560000000,Bret Harte Union High,Calaveras,121859,121859,551571,551571,1063839,1239900,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3329/BHUHSD/2792827/2022_ESSER_III_Expenditure_Plan_Bret_Harte_Union_High_School_District_20230216.pdf
05615640000000,Calaveras Unified,Calaveras,723262,723262,2992524,2992524,6727017,6727017,
05615720000000,Mark Twain Union Elementary,Calaveras,122621,122621,448989,448989,958306,1009301,
05615800000000,Vallecito Union,Calaveras,234190,234190,798159,798159,1794216,1794216,https://web.archive.org/web/20240620192855/https://4.files.edl.io/3c62/10/28/21/183455-9c662b6b-585a-4089-a3d7-30a942359f43.pdf
06100660000000,Colusa County Office of Education,Colusa,NaN,NaN,2274,2274,NaN,NaN,
06615980000000,Colusa Unified,Colusa,178564,178564,707131,707131,1577942,1589589,https://www.colusa.k12.ca.us/documents/CUSD-ESSER-III-Expenditure-Plan.pdf
06616060000000,Maxwell Unified,Colusa,35096,35096,146774,146774,329938,329938,https://www.maxwellusd.net/documents/Departments/Business-Services/ESSER-III-Grant.pdf
06616140000000,Pierce Joint Unified,Colusa,230018,230018,910894,910894,2047636,2047636,https://cdnsm5-ss19.sharpschool.com/UserFiles/Servers/Server_91750/File/2021_ESSER_III_Expenditure_Plan_Pierce_Joint_Unified_School_District_20220415%20(1).pdf
06616220000000,Williams Unified,Colusa,145903,145903,602131,602131,1353334,1353554,https://web.archive.org/web/20220113191558/https://cdn5-ss5.sharpschool.com/UserFiles/Servers/Server_3121275/File/Board%20docs/2021_ESSER_III_Expenditure_Plan_Williams_Unified_School_District_20211008.pdf
07100740000000,Contra Costa County Office of Education,Contra Costa,695545,695545,3065231,3065231,6715922,6890458,https://cdnsm5-ss16.sharpschool.com/UserFiles/Servers/Server_1077313/File/COVID%2019/CCCOE%20ESSER%20III%20Extpenditure%20Plan.pdf
07100740114470,Making Waves Academy,Contra Costa,248007,248007,1023174,1023174,2245594,2300034,https://resources.finalsite.net/images/v1639162558/makingwaves/xrk43643e5bmufsu9rsj/ESSERIIIExpenditurePlan2021.pdf
07100740129528,Caliber: Beta Academy,Contra Costa,239850,239850,932185,932185,2095497,2095497,https://resources.finalsite.net/images/v1636552832/caliberschoolsorg/gkzni4bagnmlbjsafnry/esser_revision__cba__1.pdf
07100740129684,Summit Public School K2,Contra Costa,96209,96209,448229,448229,1007592,1007592,https://summitps.org/wp-content/uploads/2021/11/ESSER-III-Expenditure-Plan-Summit-Public-School_-K2.docx.pdf
07100740134114,Contra Costa School of Performing Arts,Contra Costa,NaN,NaN,120709,120709,271346,271346,
07100740137026,Invictus Academy of Richmond,Contra Costa,40066,40066,160106,160106,359908,359908,https://drive.google.com/file/d/15g519KvbfQ79pjzJ4GleBDlwYlfFAVQg/view
07100740731380,Clayton Valley Charter High,Contra Costa,NaN,NaN,422480,422480,861611,949710,
07100746118368,Manzanita Middle,Contra Costa,37064,37064,133343,133343,299747,299747,https://manzy.org/wp-content/uploads/MCMS-2021-ESSER-III-Expenditure-Plan-.pdf
07616300000000,Acalanes Union High,Contra Costa,104137,104137,353835,353835,795399,795399,https://go.boarddocs.com/ca/auhsd/Board.nsf/files/C7DR8E69603D/$file/esseriiiexpenditureplan.docx.pdf
07616480000000,Antioch Unified,Contra Costa,3436856,3436856,13610298,13610298,17381196,30595148,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3816/AUSD/3123795/ESSER_III_Expenditure_Plan_-_English.pdf
07616480137430,Rocketship Delta Prep,Contra Costa,99685,99685,395405,395405,888778,888848,https://www.rocketshipschools.org/wp-content/uploads/2022/04/RDL_esser-iii-expenditure-plan.pdf
07616550000000,Brentwood Union,Contra Costa,499883,499883,1979589,1979589,4449998,4449998,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3938/BUSD/3131416/Final_BUSD_ESSER_III_Plan.pdf
07616630000000,Byron Union Elementary,Contra Costa,159180,159180,724500,724500,1628632,1628632,
07616630130930,Vista Oaks Charter,Contra Costa,85446,85446,341341,341341,767314,767314,https://4.files.edl.io/26db/09/21/21/204146-3a04446c-40cc-4627-93e7-0824df35b013.pdf
07616970000000,John Swett Unified,Contra Costa,340123,340123,1346920,1346920,3027797,3027797,https://drive.google.com/file/d/1BFvbwMqQnlep0yGs7cYjV6IgEGZsBvg7/view
07617050000000,Knightsen Elementary,Contra Costa,44823,44823,170241,170241,382693,382693,
07617130000000,Lafayette Elementary,Contra Costa,42968,42968,166518,166518,325674,374322,https://go.boarddocs.com/ca/lafsd/Board.nsf/files/C6MVSM82294F/$file/2021%20LafSD%20ESSER%20III%20Expenditure%20Plan.pdf
07617210000000,Liberty Union High,Contra Costa,366914,366914,1639492,1639492,3395632,3685483,https://ca01001129.schoolwires.net/cms/lib/CA01001129/Centricity/Domain/1055/2021%20LUHSD%20ESSER%20III%20Expenditure%20Plan%20-%20final%20.pdf
07617390000000,Martinez Unified,Contra Costa,261087,261087,1033929,1033929,2324213,2324213,https://docs.google.com/document/d/15nS3DCgBNTmhfkZpHqNjmCMiHMOZ6QK50E1u-RrtBLw/edit?usp=sharing
07617470000000,Moraga Elementary,Contra Costa,24665,24665,84086,84086,189021,189021,https://www.moraga.k12.ca.us/documents/About-Us/District/District-Plans/2021-2022/2021-2022-MSD-ESSER-III-Plan.pdf
07617540000000,Mt. Diablo Unified,Contra Costa,4525329,4525329,17350126,17350126,39002063,39002063,https://mtdiablo.ic-board.com/attachments/f8070269-3356-4be0-bf07-25cb70fee3e1.pdf
07617540134072,Rocketship Futuro Academy,Contra Costa,104646,104646,503562,503562,1131978,1131978,https://www.rocketshipschools.org/wp-content/uploads/2022/04/RFA_esser-iii-expenditure-plan.pdf
07617620000000,Oakley Union Elementary,Contra Costa,332102,332102,1315158,1315158,2915033,2956398,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3980/OUESD/3169665/6822706940409404887.pdf
07617880000000,Pittsburg Unified,Contra Costa,2059846,2059846,7872019,7872019,14073890,17695836,https://pittsburgusd.net/documents/Departments/Educational-Services/Safety--Emergency-Preparedness/Emergency-Preparedness/PUSD-ESSER-III-Plan.pdf
07617960000000,West Contra Costa Unified,Contra Costa,6055525,6055525,23674250,23674250,38195603,53218321,https://www.wccusd.net/cms/lib/CA01001466/Centricity/Domain/961/Revised%20ESSER%20III%20Plan%201-12-22.pdf
07617960101477,Leadership Public Schools: Richmond,Contra Costa,187721,187721,743393,743393,1593040,1671104,https://www.leadps.org/wp-content/uploads/2021/10/2021_esser_iii_expenditure_plan_leadership_public_schools__richmond_20211004.pdf
07617960110973,Richmond College Preparatory,Contra Costa,133977,133977,530564,530564,1192677,1192677,https://www.rcpschools.org/wp-content/uploads/2023/07/esseriiiexpenditureplan.docx.pdf
07617960126805,Richmond Charter Academy,Contra Costa,76865,76865,318032,318032,587580,714917,https://www.amethodschools.org/ourpages/auto/2021/11/2/60035521/Richmond%20Charter%20Academy%20ESSER%20III%20Plans-%20%2823_24%29.pdf
07617960129643,Richmond Charter Elementary-Benito Juarez,Contra Costa,129791,129791,523861,523861,844666,1177609,https://www.amethodschools.org/ourpages/auto/2021/11/2/60035521/Benito%20Juarez%20Elementary%20ESSER%20III%20Plans-%20%2823_24%29.pdf
07617960132100,Aspire Richmond Ca. College Preparatory Academy,Contra Costa,119028,119028,471364,471364,974008,1059599,
07617960132118,Aspire Richmond Technology Academy,Contra Costa,96921,96921,383816,383816,739308,862797,
07617960133637,Summit Public School: Tamalpais,Contra Costa,74608,74608,360322,360322,769567,809984,https://summitps.org/wp-content/uploads/2021/11/ESSER-III-Expenditure-Plan-Summit-Public-School_-Tamalpais.docx.pdf
07617960136903,Voices College-Bound Language Academy at West Contra Costa County,Contra Costa,43244,43244,171252,171252,384964,384964,https://voicesacademies.org/wp-content/uploads/2022/04/Voices-FY22-ESSER-III-Expenditure-Plan-WCC-revised.pdf
07618040000000,San Ramon Valley Unified,Contra Costa,404431,404431,1517242,1517242,3410672,3410672,https://www.srvusd.net/documents/District/Local-Control--Accountability-Plan/ESSER-III-Exp.-Plan-Board-approved-10-05-2021.pdf
07618120000000,Walnut Creek Elementary,Contra Costa,148993,148993,316019,316019,710393,710393,https://drive.google.com/file/d/1cl4XFlJkJPjIhYj6kfi4sCQgaBOsm5j7/view
07773540132233,John Henry High,Contra Costa,84723,84723,358905,358905,658752,806798,https://www.amethodschools.org/ourpages/auto/2021/11/2/60035521/John%20Henry%20High%20School%20ESSER%20III%20Plans-%20%2823_24%29.pdf
08100820000000,Del Norte County Office of Education,Del Norte,77707,77707,293513,293513,659800,659800,
08618200000000,Del Norte County Unified,Del Norte,1279838,1279838,5308459,5308459,8670596,11933103,https://drive.google.com/file/d/1YXUO4Yc0lAaJxcocQMfsjy8YfAh88Ryv/view
08618200137729,Uncharted Shores Academy,Del Norte,39514,39514,184452,184452,414636,414636,https://static1.squarespace.com/static/593ec49c9de4bb7a713b3b7c/t/6239f9d1d9d842238f16b1a0/1647966675091/2021_ESSER_III_Expenditure_Plan_Uncharted_Shores_Academy_20211011.pdf
09100900000000,El Dorado County Office of Education,El Dorado,226361,226361,1208702,1208702,2620931,2717091,https://go.boarddocs.com/ca/edcoe/Board.nsf/files/C85QR5687467/$file/EDCOE%20ESSER%20III%20Expenditure%20Plan%20for%20Board%20Adoption.pdf
