cds,lea,county,i_exp,i_all,ii_exp,ii_all,iii_exp,iii_all,iii_plan_link
19645010000000,El Monte City,Los Angeles,2951163,2951163,11371443,11371443,25562334,25562334,https://www.emcsd.org/apps/pages/index.jsp?uREC_ID=1557647&type=d&pREC_ID=1683268&tota11y=true
19645190000000,El Monte Union High,Los Angeles,2501533,2501533,9906325,9906325,19573754,22268835,https://www.emuhsd.org/site/handlers/filedownload.ashx?moduleinstanceid=694&dataid=13981&FileName=ESSER%20III%20EMUHSD%20Board%20Approved%20Plan%20rvsd1.5.22.pdf
19645270000000,El Rancho Unified,Los Angeles,1860809,1860809,7368993,7368993,12962748,16565062,https://4.files.edl.io/e743/01/12/22/230336-4b1a2ff3-fbc9-4e7c-82b4-5acddb048107.pdf
19645350000000,El Segundo Unified,Los Angeles,251788,251788,954737,954737,2146192,2146192,https://drive.google.com/file/d/1vGlolZWfYTsTdyRUh3sWs77BFtwQIkud/view
19645500000000,Garvey Elementary,Los Angeles,1964366,1964366,7779090,7779090,16441757,17486937,
19645680000000,Glendale Unified,Los Angeles,5240294,5240294,20752097,20752097,46649493,46649493,https://web.archive.org/web/20221209190955/https://www.gusd.net/cms/lib/CA01000648/Centricity/Domain/4630/GUSD%20ESSER%20III%20Expenditure%20Plan%20REVISION%2001-24-2022.pdf
19645760000000,Glendora Unified,Los Angeles,498035,498035,1972269,1972269,2290791,4433544,https://drive.google.com/file/d/1ju7YbuzV3mBQlMvXd_FUWK-ztdN4P2JJ/view
19645841996305,Gorman Learning Center,Los Angeles,273440,273440,546770,809613,1438392,1819962,https://gormanlcn.org/wp-content/uploads/2023/01/ESSER-III-LEA-Plan-2021-22-GLC-Final-Revision.pdf
19645920000000,Hawthorne,Los Angeles,2602102,2602102,10212953,10212953,22958117,22958117,https://resources.finalsite.net/images/v1684963844/hawthornek12caus/rv5yzmeegeiq4iec266s/5347287928864142067.pdf
19646260000000,Hughes-Elizabeth Lakes Union Elementary,Los Angeles,35479,35479,128846,128846,289638,289638,https://web.archive.org/web/20230606110006/https://img1.wsimg.com/blobby/go/cd23a029-f84b-4655-a7c7-b2f61a25d251/ESSER%20III%20Expenditure%20%20Plan.pdf
19646340000000,Inglewood Unified,Los Angeles,5309099,5309099,20694250,20694250,36559413,46519456,https://drive.google.com/file/d/1Nh94_GqXzBgmtRirN-nT1R8ExgbnUL-i/view
19646340101667,Wilder's Preparatory Academy Charter,Los Angeles,99136,99136,392587,392587,418579,882513,https://4.files.edl.io/40d2/10/22/21/172804-ed95d1ba-e3f1-48fe-a3d0-0141f6d960b9.pdf
19646340116822,Wilder's Preparatory Academy Charter Middle,Los Angeles,45118,45118,186676,186676,213658,419637,https://4.files.edl.io/c5e1/10/22/21/172803-864256dd-7c9c-4b97-8cf4-c63e443036b6.pdf
19646340119552,Today's Fresh Start Charter School Inglewood,Los Angeles,NaN,500,NaN,NaN,NaN,NaN,
19646340120303,ICEF Inglewood Elementary Charter Academy,Los Angeles,149931,149931,555896,555896,1249621,1249621,https://4.files.edl.io/9f73/01/17/22/013026-3655f86c-abbb-44c6-a629-c50d1c215a36.pdf
19646340128991,Grace Hopper STEM Academy,Los Angeles,36898,36898,137674,137674,309484,309484,https://www.gracehopperstemacademy.org/esser-iii-expenditure-plan
19646341996586,Animo Inglewood Charter High,Los Angeles,219711,219711,870079,870079,1868177,1955886,
19646420000000,Keppel Union Elementary,Los Angeles,696551,696551,2634999,2641328,4313517,5937549,
19646420136127,Sage Oak Charter School- Keppel,Los Angeles,7987,7987,47648,47648,107110,107110,https://web.archive.org/web/20220702102651/https://www.sageoak.education/media/uploads/2021_esser_iii_expenditure_plan_sage_oak_charter_school_-_keppel_20211101.pdf
19646590000000,La Canada Unified,Los Angeles,NaN,NaN,279677,279677,628696,628696,https://4.files.edl.io/89da/12/15/22/201519-37facd30-30d5-49ec-899c-cad7b844d0fc.pdf
19646670000000,Lancaster Elementary,Los Angeles,4559965,4559965,19922462,19922462,44244340,44784521,https://www.lancsd.org//cms/lib/CA01802504/Centricity/Domain/1519/2021_ESSER_III_Expenditure_Plan_Lancaster_School_District_20220309.pdf
19646670125559,iLEAD Lancaster Charter,Los Angeles,147701,147701,635260,635260,1332372,1428028,https://ileadlancaster.org/board-information/esser/
